"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;6374013.617708326;-2052950.882291674;8426964.5;0.0
1.0;7000871.595591959;-2395772.60440804;9396644.2;0.0
2.0;1008526.5171746863;-4242565.912825314;5251092.430000001;0.0
3.0;3965325.9349406753;-1872003.0450593245;5837328.9799999995;0.0
4.0;4901905.4338592;-1622030.2591408;6523935.693;0.0
5.0;5224299.488602378;-1667724.0600976227;6892023.548700001;0.0
6.0;2465380.716428647;-2160389.179571353;4625769.896;0.0
7.0;1848111.2797788582;-2567556.3912811414;4415667.67106;0.0
8.0;1656840.507216324;-2721280.2104736753;4378120.717689999;0.0
9.0;1149723.3618948208;-3562949.333990179;4712672.695885;0.0
10.0;1641898.5411722977;-4415701.542559803;6057600.083732101;0.0
11.0;462506.936831628;-5407414.421650012;5869921.35848164;0.0
12.0;4020235.027544422;-4336409.64873041;8356644.676274832;0.0
13.0;2617728.837580323;-4626661.3097170275;7244390.147297351;0.0
14.0;5353844.185946271;-2883627.0098563726;8237471.195802643;0.0
15.0;4702180.378786566;-3191559.314878248;7893739.693664813;0.0
16.0;7035587.407918343;-1584189.8680059724;8619777.275924316;0.0
17.0;7791120.73120373;-1133677.6380208852;8924798.369224615;0.0
18.0;7233619.622498934;-1389670.2229850115;8623289.845483946;0.0
19.0;6533414.198393535;-1611520.5331072102;8144934.731500745;0.0
20.0;4656194.97184878;-2014062.1666386577;6670257.138487438;0.0
21.0;4326297.989406984;-2541063.820324942;6867361.809731927;0.0
22.0;6282857.854744827;-2387201.7989572883;8670059.653702116;0.0
23.0;8208462.374595998;-2053285.4615241555;1.0261747836120153E7;0.0
24.0;1.063666846108339E7;-2257054.2920909193;1.2893722753174309E7;0.0
25.0;7924642.075837132;-2882083.498301294;1.0806725574138425E7;0.0
26.0;6192283.46017389;-4190134.264544291;1.0382417724718181E7;0.0
27.0;9704598.468607655;-2013682.4334505007;1.1718280902058156E7;0.0
28.0;1.0636870506069774E7;-1619591.5499586763;1.225646205602845E7;0.0
29.0;1.0016479746822003E7;-1945677.846391148;1.196215759321315E7;0.0
30.0;8220867.945313553;-1417641.5253622688;9638509.470675822;0.0
31.0;7699853.394762065;-1774719.7698128652;9474573.16457493;0.0
32.0;6733524.7017853055;-1753700.6103097633;8487225.312095068;0.0
33.0;7405210.89565077;-1925488.3273437873;9330699.222994557;0.0
34.0;7997226.921105176;-2303718.1816956564;1.0300945102800833E7;0.0
35.0;9246708.858379504;-2777797.9255340155;1.202450678391352E7;0.0
36.0;1.1309759303975381E7;-2224062.2960246187;1.35338216E7;0.0
37.0;1.1522648611188542E7;-3109313.7750758333;1.4631962386264374E7;0.0
38.0;1.1320938917732133E7;-2460567.1458163816;1.3781506063548515E7;0.0
39.0;1.1626526494243464E7;-2702412.5965019674;1.432893909074543E7;0.0
40.0;1.1931148080460541E7;-1714248.0297360597;1.36453961101966E7;0.0
41.0;1.2205054090637764E7;-1787718.5424324765;1.399277263307024E7;0.0
42.0;1.2483573693071608E7;-1375414.4830352664;1.3858988176106874E7;0.0
43.0;1.2822558772892322E7;-1614233.2578622466;1.443679203075457E7;0.0
44.0;1.3137781665194195E7;-1598332.750258156;1.473611441545235E7;0.0
45.0;1.3486210647743156E7;-1914123.019966608;1.5400333667709764E7;0.0
46.0;1.4167145663749538E7;-2422654.720868243;1.6589800384617781E7;0.0
47.0;1.5157033800000004E7;-2734618.0290579093;1.7891651829057913E7;0.0
48.0;1.5222229468449386E7;-4222933.134932427;1.9445162603381813E7;0.0
49.0;1.4881557858544882E7;-3936653.598632418;1.88182114571773E7;0.0
50.0;1.415169915649283E7;-4583948.709858707;1.8735647866351537E7;0.0
51.0;1.413077952358329E7;-3929936.706806544;1.8060716230389833E7;0.0
52.0;1.4228625178405438E7;-3300817.629806183;1.752944280821162E7;0.0
53.0;1.4246929494483318E7;-3237522.6356600635;1.748445213014338E7;0.0
54.0;1.4282760795192732E7;-2413211.0372562446;1.6695971832448976E7;0.0
55.0;1.428547087778536E7;-2524280.2336462117;1.6809751111431573E7;0.0
56.0;1.4190927673877517E7;-2606534.6762021617;1.6797462350079678E7;0.0
57.0;1.3985742317358086E7;-3088477.8878811584;1.7074220205239244E7;0.0
58.0;1.414451307435656E7;-3955627.176277793;1.8100140250634354E7;0.0
59.0;1.4530280099999998E7;-4975992.850749497;1.9506272950749494E7;0.0
60.0;1.4479268929849338E7;-5723082.3420333965;2.0202351271882735E7;0.0
61.0;1.4043742435599584E7;-6186816.594688579;2.0230559030288164E7;0.0
62.0;1.3262159840750389E7;-6014369.268455592;1.927652910920598E7;0.0
63.0;1.3480369870893832E7;-5645461.280256146;1.9125831151149977E7;0.0
64.0;1.3852163381850176E7;-4978709.121708346;1.883087250355852E7;0.0
65.0;1.4202740951099306E7;-4484901.217833732;1.8687642168933038E7;0.0
66.0;1.4488184742296461E7;-4015065.0618671547;1.8503249804163616E7;0.0
67.0;1.4651599976589516E7;-3657572.2997063985;1.8309172276295915E7;0.0
68.0;1.4618590170499016E7;-3655225.088092745;1.827381525859176E7;0.0
69.0;1.44318380962982E7;-4227666.146599896;1.8659504242898095E7;0.0
70.0;1.4489007670122456E7;-4804235.036504117;1.929324270662657E7;0.0
71.0;1.4746525099999998E7;-5700327.597911681;2.044685269791168E7;0.0
72.0;1.4537481349311199E7;-6998128.922782884;2.1535610272094082E7;0.0
