"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;1534013.6177083256;-2075150.8822916744;3609964.5;-800.0
1.0;2292916.284515791;-3509687.665484209;5803403.95;-800.0
2.0;2295687.476098515;-4608798.378901484;6906085.8549999995;-1600.0
3.0;2157758.425431691;-4391315.491568308;6549873.916999999;-800.0
4.0;1831333.1194316037;-4927281.430968397;6761414.550400001;-2800.0
5.0;1201271.2061446449;-5315016.916465354;6520688.122609999;-4400.0
6.0;684427.2469502436;-5654750.350898756;6344777.597848999;-5600.0
7.0;511894.8454185948;-6047973.424176945;6567068.26959554;-7200.0
8.0;641949.8067709226;-6572050.652583813;7222400.459354736;-8400.0
9.0;948193.0783867957;-6738785.211509687;7695778.289896483;-8800.0
10.0;1924683.251773403;-7253591.797951826;9187475.049725229;-9200.0
11.0;3551701.0;-8063769.074481456;1.1626670074481456E7;-11200.0
12.0;5404382.014767099;-8478022.423281832;1.389400443804893E7;-11600.0
13.0;5445046.845400495;-5817271.686247028;1.1272318531647524E7;-10000.0
14.0;5183959.742364237;-6297193.507711405;1.1492353250075642E7;-11200.0
15.0;4899390.957152894;-6588869.418599308;1.1499860375752201E7;-11600.0
16.0;4763653.421017858;-5109836.154926346;9885889.575944204;-12400.0
17.0;4486866.307961842;-5217079.285879197;9715945.593841039;-12000.0
18.0;4260059.394075552;-5203622.176257161;9476081.570332713;-12400.0
19.0;4191353.8645583866;-5106125.898125309;9310279.762683695;-12800.0
20.0;4250703.822169664;-5074596.03074778;9338499.852917444;-13200.0
21.0;4406705.390551397;-5526999.69512827;9946905.085679667;-13200.0
22.0;4973826.2781737745;-5557355.562555071;1.0544381840728845E7;-13200.0
23.0;5916619.799999999;-6145914.248076074;1.2076134048076073E7;-13600.0
24.0;6596748.0027009165;-5449943.221023467;1.2061491223724384E7;-14800.0
25.0;6791486.436687688;-5093168.464661037;1.1897054901348725E7;-12400.0
26.0;6617410.737041661;-5208283.3963332465;1.1838494133374907E7;-12800.0
27.0;6901008.183808273;-5461559.962677464;1.2375368146485737E7;-12800.0
28.0;7168229.883887429;-4968058.221993241;1.214988810588067E7;-13600.0
29.0;7277568.526727783;-4133142.0714791645;1.1422710598206947E7;-12000.0
30.0;7426166.467180314;-3413952.76454525;1.0851719231725564E7;-11600.0
31.0;7634566.691216784;-2798989.8155870275;1.044475650680381E7;-11200.0
32.0;7857122.21691832;-2182550.1800189996;1.005007239693732E7;-10400.0
33.0;8113893.126593692;-2387592.2951157675;1.050948542170946E7;-8000.0
34.0;8785514.835815925;-2880599.741345131;1.1673314577161055E7;-7200.0
35.0;9835275.899999999;-2775321.939783248;1.2618597839783246E7;-8000.0
36.0;1.0624544103975382E7;-3353519.5022980785;1.398606360627346E7;-8000.0
37.0;1.0820855111188542E7;-3661723.7018490364;1.4490578813037578E7;-8000.0
38.0;1.061815261773213E7;-3779427.7330558333;1.4407580350787964E7;-10000.0
39.0;1.1019107394243464E7;-3279612.2367347367;1.43091196309782E7;-10400.0
40.0;1.147901458046054E7;-2919910.473226017;1.4407725053686555E7;-8800.0
41.0;1.1807874990637764E7;-2239938.5414669923;1.4054213532104757E7;-6400.0
42.0;1.2120069493071608E7;-1734078.4217768044;1.3859747914848413E7;-5600.0
43.0;1.2505051872892322E7;-1641363.124722271;1.4151214997614592E7;-4800.0
44.0;1.2846021865194192E7;-1530915.0293774975;1.437933689457169E7;-2400.0
45.0;1.3179967647743154E7;-1755504.8541900192;1.4935072501933174E7;400.0
46.0;1.384422946374954E7;-2077917.663063218;1.5918947126812758E7;3200.0
47.0;1.4822554400000002E7;-2256905.012620571;1.7073859412620574E7;5600.0
48.0;1.475074366844939E7;-3295791.15974221;1.80381348281916E7;8400.0
49.0;1.4278292458544876E7;-3662888.4442433463;1.793118090278822E7;10000.0
50.0;1.3434539156492835E7;-3933453.6942936573;1.7357192850786492E7;10800.0
51.0;1.3306112423583291E7;-4151037.152779766;1.7444749576363057E7;12400.0
52.0;1.3302955278405434E7;-3868307.241258441;1.7158062519663874E7;13200.0
53.0;1.3220256794483315E7;-3076932.154348363;1.6286388948831677E7;10800.0
54.0;1.3134550395192731E7;-2765531.8022537027;1.5889282197446434E7;10800.0
55.0;1.301324077778537E7;-2292789.368512335;1.5295230146297704E7;10800.0
56.0;1.2791830873877512E7;-2520158.860645054;1.5301989734522566E7;10000.0
57.0;1.2452953317358086E7;-2803476.1310407207;1.5245229448398806E7;11200.0
58.0;1.2370502874356559E7;-3333053.3129413067;1.5691556187297866E7;12000.0
59.0;1.258645E7;-4061360.5671335445;1.6635410567133544E7;12400.0
60.0;1.233533852984934E7;-4583775.6526045315;1.690791418245387E7;11200.0
61.0;1.1680439735599585E7;-5350554.905538234;1.702139464113782E7;9600.0
62.0;1.0654080840750393E7;-5151185.625789901;1.5792466466540294E7;12800.0
63.0;1.0535899570893832E7;-4663579.111521226;1.5187478682415057E7;12000.0
64.0;1.0668610781850178E7;-4422972.923332509;1.5079583705182686E7;12000.0
65.0;1.0742365051099304E7;-3684399.231164771;1.4415564282264076E7;11200.0
66.0;1.0750985542296464E7;-3262528.527405268;1.4001514069701731E7;12000.0
67.0;1.0629868676589515E7;-3260867.5857524453;1.3877936262341961E7;12800.0
68.0;1.0307946770499015E7;-3388641.538115055;1.368458830861407E7;12000.0
