"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;5274013.617708326;-2052950.882291674;7326964.5;0.0
1.0;6899481.881044122;-2440389.938955876;9339871.819999998;0.0
2.0;-947919.6193731506;-4287183.247373151;3339263.628;0.0
3.0;2884050.4540610667;-1861266.173938933;4745316.628;0.0
4.0;3980230.824096966;-1664406.8657030347;5644637.689800001;0.0
5.0;3094139.5370327057;-1935153.1507872937;5029292.68782;0.0
6.0;1553013.4713327815;-2340556.049787218;3893569.5211199997;0.0
7.0;1112463.9896904584;-2702410.2163175414;3814874.206008;0.0
8.0;362177.4548162059;-3314234.4584467933;3676411.913262999;0.0
9.0;-66955.28519133106;-3988729.934385531;3921774.6491942;0.0
10.0;1432578.4938391335;-4403536.746373146;5836115.240212279;0.0
11.0;1671685.4042468062;-5255015.296616994;6926700.7008638;0.0
12.0;4732518.99937533;-4238056.03518879;8970575.03456412;0.0
13.0;5524422.0398725895;-4273939.065135119;9798361.105007708;0.0
14.0;8095713.8846057085;-2879897.4243087275;1.0975611308914436E7;0.0
15.0;8243822.726978606;-3087873.8638686663;1.1331696590847272E7;0.0
16.0;9434426.992832258;-1416433.8932670157;1.0850860886099273E7;0.0
17.0;1.0203636573041338E7;-1129703.7545719324;1.1333340327613272E7;0.0
18.0;9004907.442726212;-1393175.5375363342;1.0398082980262546E7;0.0
19.0;9342168.897171158;-1645952.731373591;1.098812162854475E7;0.0
20.0;7895364.610738221;-2219362.2774254354;1.0114726888163656E7;0.0
21.0;8079758.778761093;-2377903.1867709183;1.045766196553201E7;0.0
22.0;1.0057236152486887E7;-2013547.0756691033;1.207078322815599E7;0.0
23.0;1.1363428452320527E7;-1955151.3422908233;1.3318579794611352E7;0.0
24.0;1.1954126595567986E7;-2375387.6514206794;1.4329514246988665E7;0.0
25.0;1.0620908609736754E7;-3321585.8474782887;1.3942494457215043E7;0.0
26.0;1.3127223441385422E7;-2314686.446014446;1.5441909887399867E7;0.0
27.0;1.440643826378909E7;-1992674.781670232;1.639911304545932E7;0.0
28.0;1.5554876527200438E7;-1715252.3662369247;1.7270128893437363E7;0.0
29.0;1.4996066386996455E7;-1516971.8324457174;1.6513038219442172E7;0.0
30.0;1.483043197397517E7;-1778607.259311553;1.6609039233286723E7;0.0
31.0;1.3963431506488245E7;-1864969.375830445;1.582840088231869E7;0.0
32.0;1.3020721213104837E7;-2289805.932624454;1.531052714572929E7;0.0
33.0;1.3278685098486472E7;-2160646.4482630356;1.5439331546749508E7;0.0
34.0;1.4246871423688777E7;-2414991.0897232858;1.6661862513412062E7;0.0
35.0;1.712453331991046E7;-2142302.571553455;1.9266835891463913E7;0.0
36.0;1.3129759303975383E7;855937.7039753817;1.2273821600000001E7;0.0
37.0;1.3342648611188538E7;-1266734.9888114617;1.46093836E7;0.0
38.0;1.314093891773213E7;-2141447.750949816;1.5282386668681948E7;0.0
39.0;1.3446526494243458E7;-2339625.799739297;1.5786152293982755E7;0.0
40.0;1.375114808046054E7;-2266064.18762253;1.601721226808307E7;0.0
41.0;1.4025054090637764E7;-2265297.5102279005;1.6290351600865664E7;0.0
42.0;1.4303573693071608E7;-1678406.2629014028;1.598197995597301E7;0.0
43.0;1.464255877289232E7;-1489112.11163735;1.613167088452967E7;0.0
44.0;1.4957781665194195E7;-1588974.4722745838;1.6546756137468778E7;0.0
45.0;1.530621064774315E7;-2149080.657494926;1.7455291305238076E7;0.0
46.0;1.5987145663749536E7;-2568890.4329603408;1.8556036096709877E7;0.0
47.0;1.6977033799999997E7;-2874551.3545154324;1.985158515451543E7;0.0
48.0;1.7036506268449385E7;-4057915.977374674;2.1094422245824058E7;0.0
49.0;1.6677453258544868E7;-4136043.3936659116;2.081349665221078E7;0.0
50.0;1.5999906356492834E7;-4125129.350631805;2.012503570712464E7;0.0
51.0;1.6199373723583292E7;-3802876.5252534943;2.0002250248836786E7;0.0
52.0;1.6497283178405434E7;-3423562.187700312;1.9920845366105746E7;0.0
53.0;1.6732733294483313E7;-3192813.677437456;1.992554697192077E7;0.0
54.0;1.6933237995192733E7;-2825459.4033245044;1.9758697398517236E7;0.0
55.0;1.7048791477785364E7;-2622303.3762368057;1.9671094854022168E7;0.0
56.0;1.7017480873877518E7;-3018494.9828774873;2.0035975856755007E7;0.0
57.0;1.686870261735809E7;-3478562.6028955956;2.0347265220253684E7;0.0
58.0;1.698068767435655E7;-3776405.0396206174;2.075709271397717E7;0.0
59.0;1.7318617800000004E7;-4504657.1896592565;2.182327498965926E7;0.0
60.0;1.7193694129849337E7;-4940712.65434724;2.2134406784196578E7;0.0
61.0;1.6702213135599589E7;-5402447.859635165;2.2104660995234754E7;0.0
62.0;1.5841973040750392E7;-5468572.202649926;2.1310545243400317E7;0.0
63.0;1.5903050570893832E7;-5512829.157488401;2.1415879728382234E7;0.0
64.0;1.6096906581850171E7;-4940653.664149389;2.103756024599956E7;0.0
65.0;1.63269392510993E7;-4043808.7031845385;2.0370747954283837E7;0.0
66.0;1.6495853142296461E7;-3045926.06380404;1.95417792061005E7;0.0
67.0;1.6548476276589511E7;-3104687.703773061;1.965316398036257E7;0.0
68.0;1.6418325370499011E7;-3025225.5232817647;1.9443550893780775E7;0.0
69.0;1.6141878196298195E7;-3855013.5048149885;1.9996891701113183E7;0.0
70.0;1.6108345270122457E7;-4997260.643024851;2.1105605913147308E7;0.0
71.0;1.6279175199999992E7;-5396455.865332405;2.1675631065332398E7;0.0
72.0;1.5975997949311191E7;-6434516.089537503;2.2410514038848694E7;0.0
73.0;1.5339484620343473E7;-7048237.466793783;2.2387722087137256E7;0.0
74.0;1.4371811111097053E7;-7288608.472522125;2.1660419583619177E7;0.0
75.0;1.4533472388506498E7;-7016040.68755028;2.154951307605678E7;0.0
76.0;1.486132672092719E7;-6214866.310468794;2.1076193031395983E7;0.0
77.0;1.5141558403986339E7;-5602787.095647383;2.0744345499633722E7;0.0
78.0;1.5347387728754861E7;-4737255.466523519;2.008464319527838E7;0.0
79.0;1.540433934208879E7;-4365189.661919078;1.976952900400787E7;0.0
80.0;1.5229806788629532E7;-4155593.8773251143;1.9385400665954646E7;0.0
81.0;1.4866225318596877E7;-4794217.42710819;1.9660442745705068E7;0.0
82.0;1.4714831323132029E7;-5857315.816880511;2.057214714001254E7;0.0
83.0;1.4745429999999989E7;-6675562.981866344;2.1420992981866334E7;0.0
84.0;1.4307004658628842E7;-8006159.49943384;2.231316415806268E7;0.0
85.0;1.345881940837689E7;-8594569.207309296;2.2053388615686186E7;0.0
86.0;1.2260774163933104E7;-9432422.44390151;2.1693196607834615E7;0.0
87.0;1.2216033038238317E7;-9299237.047667827;2.1515270085906144E7;0.0
88.0;1.2375910027163666E7;-8749321.893248528;2.1125231920412194E7;0.0
89.0;1.2509875919778634E7;-7828521.139615373;2.0338397059394006E7;0.0
90.0;1.2590571805166803E7;-6747315.570412967;1.933788737557977E7;0.0
91.0;1.2498666202891257E7;-6238600.324989367;1.8737266527880624E7;0.0
92.0;1.2151350670209207E7;-6120994.708284902;1.827234537849411E7;0.0
93.0;1.1579154568572287E7;-6534633.329335403;1.811378789790769E7;0.0
94.0;1.1195609549841415E7;-6829119.22811446;1.8024728777955875E7;0.0
95.0;1.098333879999999E7;-7435507.08152325;1.841884588152324E7;0.0
96.0;1.0499285587147664E7;-7603691.046775251;1.8102976633922916E7;0.0
97.0;9610353.23468813;-7681843.33827713;1.729219657296526E7;0.0
98.0;8380148.28192537;-7590378.820857839;1.5970527102783209E7;0.0
99.0;8395117.508373171;-7422410.8148236;1.5817528323196772E7;0.0
100.0;8640612.489937438;-7242030.674419554;1.5882643164356992E7;0.0
101.0;8879626.162013175;-5651507.040209651;1.4531133202222826E7;0.0
102.0;9042728.588662408;-4867817.564485296;1.3910546153147703E7;0.0
103.0;8997942.003412077;-5187018.1442274265;1.4184960147639504E7;0.0
104.0;8677957.1313369;-5410615.700518509;1.4088572831855409E7;0.0
105.0;8143225.475665983;-6028421.396353548;1.4171646872019531E7;0.0
106.0;7772930.993619523;-7321728.922014455;1.5094659915633978E7;0.0
107.0;7552664.19999999;-8980821.292532174;1.6533485492532164E7;0.0
108.0;7308047.690777615;-1.0114740148283906E7;1.742278783906152E7;0.0
109.0;6636040.315938758;-1.1188613424216611E7;1.782465374015537E7;0.0
110.0;5626735.3655745275;-9769227.314084105;1.5395962679658633E7;0.0
111.0;5845801.463505136;-8450820.400720151;1.4296621864225287E7;0.0
112.0;6271106.177952402;-6687741.357788839;1.2958847535741242E7;0.0
113.0;6674951.109613072;-6715927.090217574;1.3390878199830646E7;0.0
114.0;6993488.64322102;-5114502.808958559;1.2107991452179579E7;0.0
115.0;7104719.508792246;-4648424.076012202;1.1753143584804447E7;0.0
116.0;6926131.084104012;-4884338.038364275;1.1810469122468287E7;0.0
117.0;6516964.188594907;-5802332.896482416;1.2319297085077323E7;0.0
118.0;6275251.89376776;-7165770.299954624;1.3441022193722384E7;0.0
119.0;6161997.799999984;-8723497.953549702;1.4885495753549686E7;0.0
120.0;6027567.546943625;-9581514.443441303;1.5609081990384929E7;0.0
121.0;5416717.221366994;-1.0093986189325638E7;1.5510703410692632E7;0.0
122.0;4491035.528601322;-1.0362985656457242E7;1.4854021185058564E7;0.0
123.0;4786661.835607313;-8370530.417685349;1.3157192253292661E7;0.0
124.0;5284731.8741774885;-7096188.655963414;1.2380920530140903E7;0.0
125.0;5766674.916486653;-6256695.522294182;1.2023370438780835E7;0.0
126.0;6154161.675291249;-5281885.697952925;1.1436047373244174E7;0.0
127.0;6325610.890346617;-4954529.903823021;1.1280140794169638E7;0.0
128.0;6201817.596008832;-4660420.45239892;1.0862238048407752E7;0.0
129.0;5852216.41960464;-5207075.880900014;1.1059292300504655E7;0.0
130.0;5654412.075491044;-4991461.09592672;1.0645873171417763E7;0.0
131.0;5570971.399999987;-6667751.2580049485;1.2238722658004936E7;0.0
132.0;5489285.176387861;-6801411.022494607;1.2290696198882468E7;0.0
133.0;4845406.879550099;-7698215.070882138;1.2543621950432237E7;0.0
134.0;3949170.4539831625;-7000107.73547824;1.0949278189461403E7;0.0
