"tick";"Traded Volume"
0.0;17800.0
1.0;776153.8899999999
2.0;1192538.463811349
3.0;1049748.6914943256
4.0;1211117.984947163
5.0;948216.9911935815
6.0;875215.8327147906
7.0;802422.4491213555
8.0;845869.6773952217
9.0;936209.1145396503
10.0;1059003.185453846
11.0;4059861.101291997
12.0;1498974.7957819442
13.0;1744818.07952375
14.0;1424389.1180121743
15.0;1399764.9244722328
16.0;1203175.1411428077
17.0;1083602.9665917056
18.0;1046897.0401968993
19.0;993904.0826443296
20.0;1454691.832525164
21.0;1243483.3861122187
22.0;1076445.3163662124
23.0;1294458.09970381
24.0;1887259.3032156783
25.0;2878640.769341999
26.0;1581080.9118359876
27.0;1860331.4349855126
28.0;2472407.2007181575
29.0;2063285.8893329266
30.0;1568589.626178768
31.0;1372438.0933048774
32.0;1358654.769433461
33.0;1416378.98935019
34.0;1515341.7739648833
35.0;1457581.7478889704
36.0;1658296.3048288287
37.0;2190093.0481258444
38.0;2301605.173579165
39.0;2440000.833643061
40.0;2202800.416840971
41.0;1452541.4917326279
42.0;1319558.6986421496
43.0;1123202.1834472478
44.0;1248764.0671809674
45.0;1369660.0609865056
46.0;1653333.8071043538
47.0;1921849.4737192972
48.0;2118538.5149769806
49.0;2905430.7189480537
50.0;2548117.044928082
51.0;2590158.183893676
52.0;2454951.609002169
53.0;2356039.090982635
54.0;1679283.9402882988
55.0;1901896.0930116677
56.0;2019136.3043225042
57.0;1903237.1155765185
58.0;2048671.6056122594
59.0;2426458.5842342665
60.0;2719322.955902939
61.0;3781101.4919669814
62.0;2649513.013226998
63.0;2978366.255224477
64.0;2652986.049895192
65.0;2249956.397939968
66.0;2389419.715158464
67.0;2205997.378730685
68.0;1829702.7073050605
69.0;1896514.0718518547
70.0;2208240.5914883856
71.0;2980997.27707198
72.0;2671380.8541355077
73.0;2988128.578641091
74.0;2796008.6643092874
75.0;3417477.6102554626
76.0;3020717.7064738325
77.0;4123288.656978927
78.0;2214113.0600735936
79.0;3070683.832871893
80.0;2236730.402657933
81.0;1844386.7436977196
82.0;1840331.5542010076
83.0;4157315.9813297875
84.0;2436864.1150493813
85.0;2868078.0889291447
86.0;2755462.155997149
87.0;2570119.196017849
88.0;2250119.1890044506
89.0;2634073.3243831242
90.0;5000433.818044881
91.0;5263612.540164417
92.0;2629767.103378508
93.0;2226624.2878831187
94.0;3130981.2097153952
95.0;3453541.1332234717
96.0;3965420.9119018903
97.0;3937815.9240123583
98.0;3092881.6719465386
99.0;2949850.9660130003
100.0;3231488.4818653353
101.0;2497561.8732369887
102.0;2836660.135802187
103.0;3721722.4971507136
104.0;3025611.0879725004
105.0;2117311.90544725
106.0;2945273.180750025
107.0;2551846.021532414
108.0;3460018.558732554
109.0;4244961.973424259
110.0;2110897.3667586
111.0;3024992.5591403996
112.0;2413891.8321237
113.0;2623220.662936331
114.0;4932496.921535969
115.0;2738703.3052840997
116.0;2642177.253756898
117.0;2291364.1217682725
118.0;2557464.9382870817
119.0;3213932.6244744645
120.0;2928774.9328681394
121.0;4681817.554159186
122.0;2737974.018244919
123.0;3992254.100869632
124.0;3210982.772978305
125.0;2374043.669125496
126.0;3373103.7639345042
127.0;2822423.8503190004
128.0;2155822.0208471
129.0;2747480.2101423894
130.0;2583258.888290251
131.0;2032185.9281491265
132.0;3986268.1112295743
133.0;4204229.525632557
134.0;3753757.726568001
135.0;1931700.3628313995
136.0;3152041.866708061
137.0;3738377.702820357
138.0;2796840.142587834
139.0;2139909.1428943505
140.0;2271003.593336209
141.0;2022117.7566621155
142.0;2638295.4443850205
143.0;3727226.4143514084
144.0;2811099.2220493658
145.0;3620784.3880888824
146.0;3490431.5787158506
147.0;3100245.2169895642
148.0;2444987.011756283
149.0;2468382.0423432034
150.0;2974853.4273544624
151.0;2775803.1163381715
152.0;2269919.2430084134
153.0;2182418.8278258834
154.0;2561551.8987106136
155.0;2629330.7653386365
156.0;2582834.7968641752
157.0;3825661.077785285
158.0;3719586.336138292
159.0;2162827.489708976
160.0;3029581.5296291923
161.0;2749063.6710242587
162.0;2668417.8118057773
163.0;1566790.6877105818
164.0;2207284.759517024
165.0;2011168.0788145992
166.0;2102057.1458291803
167.0;2658735.1485543135
168.0;3679055.5854196437
169.0;2851843.0131180403
170.0;2935276.613299844
171.0;2199645.7529946514
172.0;2215617.4803311178
173.0;2374345.8033793448
174.0;1975018.949772994
175.0;1816346.4428789318
176.0;1638674.9145617292
177.0;1792364.3368882015
178.0;2422974.12881941
179.0;2369602.680635362
180.0;3016268.66789425
181.0;2736092.7695145863
182.0;2593829.388982845
183.0;2454976.8399566715
184.0;2158308.3727469137
185.0;1744059.7524456733
186.0;1558198.4854416798
187.0;1498973.1344871966
188.0;1507584.6621014837
189.0;1572132.8527830131
190.0;2072311.780700081
191.0;2274413.329833039
192.0;2534728.017803789
193.0;2357517.860328904
194.0;2325065.7416957105
195.0;2129353.2542083897
196.0;1778402.2946491411
197.0;1614361.2769514364
198.0;1369741.42989512
199.0;1246580.1029987708
200.0;1327589.4802600588
201.0;1467067.9872898168
202.0;1712886.3285133129
203.0;2044737.3549685376
204.0;2180242.8545890986
205.0;2104015.922599453
206.0;1931895.9942830144
207.0;1854343.364062433
208.0;1556956.2724878034
209.0;1311122.1590448571
210.0;1145888.725949984
211.0;1107295.373557036
212.0;1127483.9937013008
213.0;1280116.1309298272
214.0;1520652.4804243788
215.0;1715722.9997002878
216.0;1894567.404954531
217.0;1757816.4998283272
218.0;1597859.5067665703
219.0;1571395.8352399764
220.0;1276747.5267534207
221.0;1147988.7406318046
222.0;960954.2947629513
223.0;913885.5291972376
224.0;962017.534665957
225.0;1039821.250035663
226.0;1305750.6657021816
