"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;1828044.4803312006
38.0;1916108.5281152949
39.0;2248723.655474026
40.0;1640114.0974039496
41.0;1392182.5448805466
42.0;1529084.197456999
43.0;1180835.3261102512
44.0;1274918.6517899504
45.0;1251989.1346186453
46.0;1466771.699473788
47.0;1459609.2287307796
48.0;2155029.010881045
49.0;2527893.4521424575
50.0;2271453.6175447316
51.0;3116076.446334933
52.0;3315928.7244744007
53.0;2475961.8433477487
54.0;1804616.9505371659
55.0;2085661.053627238
56.0;1777737.6227955436
57.0;2103648.2992171487
58.0;2158915.810630565
59.0;2704969.300967692
60.0;2916469.3392514484
61.0;2403299.7549967654
62.0;3730584.89047426
63.0;2708294.6496263267
64.0;2689786.646876222
65.0;2996171.622168533
66.0;2385471.615330279
67.0;1785685.703596438
68.0;1662882.3319656232
69.0;1888160.0643502318
70.0;2428647.97336163
71.0;2743333.1692497307
72.0;2552836.4279961092
73.0;3814232.7910265913
74.0;2738305.611196113
75.0;2985514.146003039
76.0;3553091.596173188
77.0;2468192.594082098
78.0;2199591.164930422
79.0;2767032.4632482403
80.0;3127657.6846503573
81.0;2253508.478118623
82.0;2458977.9201172213
83.0;2875714.6109766862
84.0;3197070.0140537675
85.0;3647832.4932482974
86.0;3170202.24708272
87.0;2857794.7985343416
88.0;2318049.2221921016
89.0;2805050.4357488467
90.0;3595027.278269764
91.0;2433665.737043488
92.0;2501749.890072028
93.0;2319156.1656543384
94.0;3082159.457167405
95.0;2948367.7809353564
96.0;3695332.662316532
97.0;3556657.9890978453
98.0;3598828.314555817
99.0;3401268.518395705
100.0;3103740.603721261
101.0;3098067.4244609307
102.0;2740427.5372626116
103.0;2280822.8906027
104.0;2015199.9989103423
105.0;2773383.868886693
106.0;2715631.3262533764
107.0;3317104.9233226506
108.0;3408003.566082033
109.0;3521367.4580214787
110.0;3739308.1101661297
111.0;4783200.951649959
112.0;3044108.9114832785
113.0;3155842.233927981
114.0;3413193.207458658
115.0;3229207.6469692932
116.0;2839083.093376874
117.0;2781840.659345569
118.0;3848717.535346469
119.0;2818798.7209769036
120.0;3226580.4793193946
121.0;3302028.151559028
122.0;2906013.4323446644
123.0;3512344.3710391205
124.0;3453601.683530606
125.0;2807722.2089105076
126.0;2525811.3515745164
127.0;2610410.5913982606
128.0;2113573.611622682
129.0;2374878.691652876
130.0;2532564.268413119
131.0;2914241.338246978
132.0;4022598.6279452555
133.0;2300327.167220585
134.0;2733965.2031016606
135.0;3875526.4078901187
136.0;3276374.607964209
137.0;2707063.6846913095
138.0;3180407.170245334
139.0;2239984.9005493512
140.0;3121404.2185958135
141.0;2399336.4406545875
142.0;3317674.381147639
143.0;3045043.125810245
144.0;2228668.430613696
145.0;3098399.4335332946
146.0;2397540.7946972
147.0;2751194.833583701
148.0;2957047.587979467
149.0;3042267.8780736327
150.0;3883760.047118575
151.0;1682511.489176172
152.0;2152037.2000637418
153.0;1922742.7114779048
154.0;2613626.528428335
155.0;3050720.0746250423
156.0;2854784.877081732
157.0;3327751.084687925
158.0;3055346.567895656
159.0;1834431.0122433503
160.0;2701396.1452173283
161.0;1783724.8907161586
162.0;2400163.56065749
