"tick";"Running scenario number";"random_seed";"Certificate price (Euro)";"Power price Norway (Euro)";"Power price Sweden (Euro)";"Number of plants i Norway (acc)";"Number of plants i Sweden (acc)";"Added annual production Norway (acc) (MWh)";"Added annual production Sweden (acc) (MWh)";"Eligible annual production Norway (MWh)";"Eligible annual production Sweden (MWh)";"Eligible annual production Total (MWh)";"Added wind capacity Norway (acc) (MW)";"Added wind capacity Sweden (acc) (MW)";"Added hydro capacity Norway (acc) (MW)";"Added hydro capacity Sweden (acc) (MW)";"Added all other capacity Norway (acc) (MW)";"Added all other capacity Sweden (acc) (MW)";"Certificate balance (MW)";"Total capacity added Norway (acc) (MW)";"Total capacity added Sweden (acc) (MW)";"Added wind production Norway (acc) (MWh)";"Added hydo production Norway (acc) (MWh)";"Added all other production Norway (acc) (MWh)";"Added hydro production Sweden (acc) (MWh)";"Added all other production Sweden (acc) (MWh)";"Added wind production Sweden (acc) (MWh)"
0.0;0.0;2;20.2;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;7353785.984327059;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
1.0;0.0;2;18.37;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;7717360.933894299;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
2.0;0.0;2;24.92;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;1138593.2764914501;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
3.0;0.0;2;18.77;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;4026080.865298344;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
4.0;0.0;2;18.26;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;3564297.276452698;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
5.0;0.0;2;18.37;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;2903961.545381626;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
6.0;0.0;2;19.81;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;2263914.7487777444;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
7.0;0.0;2;20.22;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;1792182.8672441985;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
8.0;0.0;2;20.99;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;2205248.580853905;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
9.0;0.0;2;22.33;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;1750302.6539057968;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
10.0;0.0;2;22.92;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;3105797.845834971;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
11.0;0.0;2;24.09;32.0601227277;34.3958560914425;2.0;23.0;48004.8;1322943.96;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;0.0;4379037.010569707;6.6;500.85;4204.8;43800.0;0.0;8760.0;0.0;1314183.96
12.0;0.0;2;23.71;39.63250876833333;40.95295783999999;2.0;27.0;48004.8;2117178.12;48004.8;2117178.12;2165182.92;1.6;765.25;5.0;1.0;0.0;0.0;6438301.868841882;6.6;766.25;4204.8;43800.0;0.0;8760.0;0.0;2108418.12
13.0;0.0;2;25.15;39.63250876833333;40.95295783999999;2.0;33.0;48004.8;2463276.96;48004.8;2463276.96;2511281.76;1.6;878.15;5.0;1.0;0.0;1.0;5473886.697323209;6.6;880.15;4204.8;43800.0;0.0;8760.0;8760.0;2445756.96
14.0;0.0;2;23.19;39.63250876833333;40.95295783999999;2.0;36.0;48004.8;2990278.56;48004.8;2990278.56;3038283.36;1.6;1049.65;5.0;1.0;0.0;1.0;5059347.6896379255;6.6;1051.65;4204.8;43800.0;0.0;8760.0;8760.0;2972758.56
15.0;0.0;2;24.68;39.63250876833333;40.95295783999999;3.0;38.0;215671.2;3199905.3600000003;215671.2;3199905.3600000003;3415576.5600000005;59.6;1122.65;5.0;1.0;0.0;1.0;3269686.693801437;64.6;1124.65;171871.19999999998;43800.0;0.0;8760.0;8760.0;3182385.3600000003
16.0;0.0;2;21.61;39.63250876833333;40.95295783999999;3.0;38.0;215671.2;3199905.3600000003;215671.2;3199905.3600000003;3415576.5600000005;59.6;1122.65;5.0;1.0;0.0;1.0;4237722.246348133;64.6;1124.65;171871.19999999998;43800.0;0.0;8760.0;8760.0;3182385.3600000003
17.0;0.0;2;20.09;39.63250876833333;40.95295783999999;3.0;39.0;215671.2;3215673.3600000003;215671.2;3215673.3600000003;3431344.5600000005;59.6;1128.65;5.0;1.0;0.0;1.0;4719772.844907735;64.6;1130.65;171871.19999999998;43800.0;0.0;8760.0;8760.0;3198153.3600000003
18.0;0.0;2;21.17;39.63250876833333;40.95295783999999;4.0;41.0;1415791.2;3436074.9600000004;1415791.2;3436074.9600000004;4851866.16;59.6;1212.65;142.0;1.0;0.0;1.0;2790547.64132512;201.6;1214.65;171871.19999999998;1243920.0;0.0;8760.0;8760.0;3418554.9600000004
19.0;0.0;2;21.05;39.63250876833333;40.95295783999999;4.0;44.0;1415791.2;3566248.5600000005;1415791.2;3566248.5600000005;4982039.760000001;59.6;1266.65;142.0;1.0;0.0;1.0;2464231.6916864165;201.6;1268.65;171871.19999999998;1243920.0;0.0;8760.0;8760.0;3548728.5600000005
20.0;0.0;2;22.44;39.63250876833333;40.95295783999999;4.0;45.0;1415791.2;4766368.56;1415791.2;4766368.56;6182159.76;59.6;1266.65;142.0;1.0;0.0;138.0;1957651.482307682;201.6;1405.65;171871.19999999998;1243920.0;0.0;8760.0;1208880.0;3548728.5600000005
21.0;0.0;2;22.59;39.63250876833333;40.95295783999999;5.0;50.0;1426566.0;5065610.16;1426566.0;5065610.16;6492176.16;62.6;1362.15;142.0;6.0;0.0;138.0;2445639.5763532855;204.6;1506.15;182646.0;1243920.0;0.0;52560.0;1208880.0;3804170.1600000006
22.0;0.0;2;21.61;39.63250876833333;40.95295783999999;5.0;53.0;1426566.0;5179034.640000001;1426566.0;5179034.640000001;6605600.640000001;62.6;1400.0000000000002;142.0;6.0;0.0;138.0;4112714.861752726;204.6;1544.0000000000002;182646.0;1243920.0;0.0;52560.0;1208880.0;3917594.6400000006
23.0;0.0;2;21.14;39.63250876833333;40.95295783999999;5.0;54.0;1426566.0;5186239.74;1426566.0;5186239.74;6612805.74;62.6;1402.3500000000001;142.0;6.0;0.0;138.0;4892068.665926288;204.6;1546.3500000000001;182646.0;1243920.0;0.0;52560.0;1208880.0;3924799.7400000007
24.0;0.0;2;20.06;29.92803;32.1927575;5.0;55.0;1426566.0;5615479.74;1426566.0;5615479.74;7042045.74;62.6;1402.3500000000001;142.0;6.0;0.0;187.0;5485989.409122307;204.6;1595.3500000000001;182646.0;1243920.0;0.0;52560.0;1638120.0;3924799.7400000007
25.0;0.0;2;21.93;29.92803;32.1927575;5.0;55.0;1426566.0;5615479.74;1426566.0;5615479.74;7042045.74;62.6;1402.3500000000001;142.0;6.0;0.0;187.0;4027336.5467305067;204.6;1595.3500000000001;182646.0;1243920.0;0.0;52560.0;1638120.0;3924799.7400000007
26.0;0.0;2;20.47;29.92803;32.1927575;5.0;55.0;1426566.0;5615479.74;1426566.0;5615479.74;7042045.74;62.6;1402.3500000000001;142.0;6.0;0.0;187.0;4550142.942975316;204.6;1595.3500000000001;182646.0;1243920.0;0.0;52560.0;1638120.0;3924799.7400000007
27.0;0.0;2;19.48;29.92803;32.1927575;6.0;58.0;1588188.0;6222565.26;1588188.0;6222565.26;7810753.26;107.6;1601.15;142.0;6.0;0.0;187.0;6513102.921954121;249.6;1794.15;344268.0;1243920.0;0.0;52560.0;1638120.0;4531885.26
28.0;0.0;2;19.75;29.92803;32.1927575;6.0;58.0;1588188.0;6222565.26;1588188.0;6222565.26;7810753.26;107.6;1601.15;142.0;6.0;0.0;187.0;4890699.207313881;249.6;1794.15;344268.0;1243920.0;0.0;52560.0;1638120.0;4531885.26
29.0;0.0;2;19.58;29.92803;32.1927575;6.0;60.0;1588188.0;6331890.0600000005;1588188.0;6331890.0600000005;7920078.0600000005;107.6;1646.15;142.0;6.0;0.0;187.0;4493750.142678491;249.6;1839.15;344268.0;1243920.0;0.0;52560.0;1638120.0;4641210.0600000005
30.0;0.0;2;19.54;29.92803;32.1927575;6.0;61.0;1588188.0;6583862.7;1588188.0;6583862.7;8172050.7;107.6;1730.75;142.0;6.0;0.0;187.0;4371733.015990393;249.6;1923.75;344268.0;1243920.0;0.0;52560.0;1638120.0;4893182.700000001
31.0;0.0;2;20.2;29.92803;32.1927575;6.0;67.0;1588188.0;7470900.3;1588188.0;7470900.3;9059088.3;107.6;2008.75;142.0;12.0;0.0;187.0;4049507.1837249426;249.6;2207.75;344268.0;1243920.0;0.0;105120.0;1638120.0;5727660.300000001
32.0;0.0;2;20.75;29.92803;32.1927575;6.0;68.0;1588188.0;7542644.7;1588188.0;7542644.7;9130832.7;107.6;2029.75;142.0;12.0;0.0;187.0;3809450.406236375;249.6;2228.75;344268.0;1243920.0;0.0;105120.0;1638120.0;5799404.700000001
33.0;0.0;2;20.14;29.92803;32.1927575;6.0;68.0;1588188.0;7542644.7;1588188.0;7542644.7;9130832.7;107.6;2029.75;142.0;12.0;0.0;187.0;4943278.978805046;249.6;2228.75;344268.0;1243920.0;0.0;105120.0;1638120.0;5799404.700000001
34.0;0.0;2;19.47;29.92803;32.1927575;7.0;69.0;3892068.0;7551404.7;3892068.0;7551404.7;1.14434727E7;107.6;2029.75;405.0;12.0;0.0;188.0;6384330.620203402;512.6;2229.75;344268.0;3547800.0;0.0;105120.0;1646880.0;5799404.700000001
35.0;0.0;2;18.2;29.92803;32.1927575;7.0;70.0;3892068.0;7649166.3;3892068.0;7649166.3;1.15412343E7;107.6;2065.75;405.0;12.0;0.0;188.0;8298967.56503058;512.6;2265.75;344268.0;3547800.0;0.0;105120.0;1646880.0;5897166.300000001
36.0;0.0;2;12.476208671466875;26.7;27.6;7.0;70.0;3892068.0;7649166.3;3892068.0;7649166.3;1.15412343E7;107.6;2065.75;405.0;12.0;0.0;188.0;1.2095947745632693E7;512.6;2265.75;344268.0;3547800.0;0.0;105120.0;1646880.0;5897166.300000001
37.0;0.0;2;15.22515975137966;26.7;27.6;7.0;70.0;3892068.0;7649166.3;3892068.0;7649166.3;1.15412343E7;107.6;2065.75;405.0;12.0;0.0;188.0;1.2305056341031723E7;512.6;2265.75;344268.0;3547800.0;0.0;105120.0;1646880.0;5897166.300000001
38.0;0.0;2;18.08399159847226;26.7;27.6;7.0;71.0;3892068.0;7724064.3;3892068.0;7724064.3;1.16161323E7;107.6;2088.25;405.0;12.0;0.0;188.0;1.2054088697985424E7;512.6;2288.25;344268.0;3547800.0;0.0;105120.0;1646880.0;5972064.300000001
39.0;0.0;2;21.36644536851463;26.7;27.6;7.0;71.0;3892068.0;7724064.3;3892068.0;7724064.3;1.16161323E7;107.6;2088.25;405.0;12.0;0.0;188.0;1.230246862490687E7;512.6;2288.25;344268.0;3547800.0;0.0;105120.0;1646880.0;5972064.300000001
40.0;0.0;2;22.28068774081028;26.7;27.6;7.0;72.0;3892068.0;7739306.7;3892068.0;7739306.7;1.16313747E7;107.6;2094.25;405.0;12.0;0.0;188.0;1.2497755913052045E7;512.6;2294.25;344268.0;3547800.0;0.0;105120.0;1646880.0;5987306.700000001
41.0;0.0;2;24.12794433333458;26.7;27.6;7.0;76.0;3892068.0;8658756.3;3892068.0;8658756.3;1.25508243E7;107.6;2414.25;405.0;12.0;0.0;188.0;1.2574855275227968E7;512.6;2614.25;344268.0;3547800.0;0.0;105120.0;1646880.0;6906756.300000001
42.0;0.0;2;24.383340526146853;26.7;27.6;8.0;78.0;4470228.0;9513732.3;4470228.0;9513732.3;1.39839603E7;107.6;2644.25;471.0;12.0;0.0;212.0;1.2744133775761338E7;578.6;2868.25;344268.0;4125960.0;0.0;105120.0;1857120.0;7551492.300000001
