"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_104";"Sweden";2;0.32;39.0;6.0360422E7;13.0;0.06202866261747517;0.05902306859154267;"Company 1381";0.0;0.0;0.0;0.0;0;0;0;0;2;0;109324.8;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_47";"Norway";2;0.44;19.8;2.945427E7;14.6;0.07803289457129652;0.07255247574415837;"Company 1447";0.0;0.0;0.0;0.0;0;0;0;0;2;0;76317.12;0
2;0.008112721289111127;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_108";"Sweden";2;0.33;69.0;1.26313198E8;15.4;0.0;0.0;"Company 1327";40.730373017448656;0.0;2.19287110856745;0.0;15;2013;2028;195;2;1;199465.19999999998;1
2;-0.003457714078178123;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_180";"Sweden";2;0.33;100.0;1.95963451E8;15.1;0.0;0.0;"Company 1321";42.215462986024626;0.0;4.668021056194061;0.0;27;2014;2029;207;2;1;289080.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_25";"Norway";2;0.29;50.0;7.8615558E7;17.0;0.07803289457129652;0.058543101876202173;"Company 1417";68.98843134389527;60.54323322762432;Infinity;Infinity;0;0;0;0;3;3;127019.99999999999;0
2;0.039664649809504404;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_171";"Sweden";2;0.38;85.0;1.39499113E8;13.6;0.0;0.0;"Company 1477";33.320812728840636;0.0;-10.15639603911258;0.0;27;2014;2029;207;2;1;282948.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_Auto15";"Sweden";2;0.25;30.0;4.3684615E7;16.5;0.06202866261747517;0.06002816847714182;"Company 1321";0.0;0.0;0.0;0.0;0;0;0;0;2;5;65700.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_76";"Sweden";2;0.29;63.0;1.04051038E8;16.7;0.06202866261747517;0.05768435554143115;"Company 1375";63.977029736886124;62.063692692216065;Infinity;Infinity;0;0;0;0;2;3;160045.19999999998;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_176";"Sweden";2;0.36;48.0;7.5089348E7;12.8;0.06202866261747517;0.07366357114396684;"Company 1405";0.0;0.0;0.0;0.0;0;0;0;0;2;0;151372.80000000002;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_129";"Sweden";2;0.29;48.0;7.505406E7;15.7;0.06202866261747517;0.06384433361798027;"Company 1537";60.45867984395717;61.2253739792088;Infinity;Infinity;0;0;0;0;1;3;121939.19999999998;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Overgang_2012_2019";"Sweden";3;1.0;30.0;0.0;0.0;0.0;0.0;"Company 1321";0.0;0.0;-21.021146854564368;0.0;0;2012;2019;96;2;1;262800.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_151";"Sweden";2;0.3;72.0;1.11888359E8;13.7;0.06202866261747517;0.06879876521324736;"Company 1435";56.70049618269391;59.47386999582676;Infinity;Infinity;0;0;0;0;3;3;189215.99999999997;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Overgang_2012_2026_3";"Sweden";3;1.0;71.0;0.0;0.0;0.0;0.0;"Company 1345";0.0;0.0;-39.414650352308186;0.0;0;2012;2026;180;2;1;621960.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_235";"Sweden";2;0.29;90.0;1.51187025E8;17.0;0.06202866261747517;0.07232340152989701;"Company 1501";0.0;0.0;0.0;0.0;0;0;0;0;2;0;228635.99999999997;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_69";"Norway";2;0.25;55.0;9.4088694E7;22.6;0.07803289457129652;0.061569030807094305;"Company 1549";88.21467116836979;79.15856930739528;Infinity;Infinity;0;0;0;0;3;3;120450.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_13";"Sweden";2;0.29;15.0;2.2008555E7;14.2;0.06202866261747517;0.06879876521324736;"Company 1435";56.19954505637659;58.90836120417089;Infinity;Infinity;0;0;0;0;3;3;38106.0;0
